"","Taxon","SLA","SLA.units","SLAfromLMA","source"
"404","Acacia bakeri",NA,"",NA,"AUSTRAITS_dataset_68"
"432","Acacia bakeri",NA,"",NA,"AUSTRAITS_dataset_49"
"1532","Acacia bakeri",NA,"",NA,"NSW flora online "
"1533","Acacia bakeri",NA,"",NA,"AUSTRAITS_dataset_34"
"1534","Acacia bakeri",NA,"",NA,"AUSTRAITS_dataset_53"
"1383","Acacia fimbriata",8.88,"m2/kg",NA,"AUSTRAITS_dataset_5"
"1535","Acacia fimbriata",NA,"",NA,"NSW flora online "
"1536","Acacia fimbriata",NA,"",NA,"AUSTRAITS_dataset_17"
"1537","Acacia fimbriata",NA,"",NA,"AUSTRAITS_dataset_4"
"1538","Acacia fimbriata",NA,"",NA,"AUSTRAITS_dataset_53"
"2229","Acacia fimbriata",NA,"",NA,"Lawson_field_work"
"2269","Acacia fimbriata",NA,"",NA,"Moles 2004 Seed database as H. aspera"
"312","Acmena smithii",NA,"",NA,"AUSTRAITS_dataset_68"
"358","Acmena smithii",NA,"",NA,"AUSTRAITS_dataset_68"
"359","Acmena smithii",NA,"",NA,"AUSTRAITS_dataset_68"
"539","Acmena smithii",NA,"",NA,"AUSTRAITS_dataset_30"
"540","Acmena smithii",NA,"",NA,"AUSTRAITS_dataset_68"
"663","Acmena smithii",NA,"",NA,"AUSTRAITS_dataset_68"
"691","Acmena smithii",NA,"",NA,"Gallagher_field_workPHD"
"714","Acmena smithii",NA,"",NA,"AUSTRAITS_dataset_49"
"761","Acmena smithii",NA,"",NA,"AUSTRAITS_dataset_68"
"1268","Acmena smithii",8.84251481121231,"",8.84251481121231,"Gallagher_field_workPHD"
"1356","Acmena smithii",8.19672131147541,"",8.19672131147541,"AUSTRAITS_dataset_32"
"1370","Acmena smithii",10.41,"cm2/g",10.4100519461592,"AUSTRAITS_dataset_32"
"1539","Acmena smithii",NA,"",NA,"AUSTRAITS_dataset_24"
"1540","Acmena smithii",NA,"",NA,"NSW flora online "
"1541","Acmena smithii",NA,"",NA,"AUSTRAITS_dataset_17"
